"Feature" "Gain" "Cover" "Frequency"
"325" "NAME_PAYMENT_TYPE_miss" 402.513521075249 3235161 52
"326" "NAME_GOODS_CATEGORY_6" 399.011845827103 423768 41
"327" "AMT_INST_MIN_REGULARITY_MEAN" 397.511031270027 7768465 54
"328" "Add_CARD_DRAWINGS_ATM_per_CNT_MAX" 395.092226266861 5271207 53
"329" "NAME_CLIENT_TYPE_Refreshed" 393.381870269775 1501239 38
"330" "WALLSMATERIAL_MODE.Panel" 389.466779708862 1393215 33
"331" "AMT_REQ_CREDIT_BUREAU_MON" 388.870146393776 8813538 61
"332" "FLAG_OWN_REALTY" 377.47078704834 1060288 44
"333" "NAME_CONTRACT_STATUS_POSCASH_Returned.to.the.store" 375.744997024536 4530728 31
"334" "NAME_CONTRACT_STATUS_POSCASH_Signed" 365.440007686615 6661532 54
"335" "LIVINGAPARTMENTS_MODE" 365.25210916996 6309677 50
"336" "NAME_INCOME_TYPE.State.servant" 364.258299827576 4225874 23
"337" "NAME_CONTRACT_TYPE_Consumer_loans" 356.277008295059 1687404 39
"338" "OCCUPATION_TYPE.Managers" 356.214122533798 9435671 51
"339" "AMT_GOODS_PRICE_MAX" 356.085424184799 2397612 35
"340" "AMT_CREDIT_SUM_OVERDUE_MEAN" 353.97288608551 2035338 8
"341" "CHANNEL_TYPE_AP._.Cash_loan." 352.928270816803 5751605 33
"342" "AMT_CREDIT_LIMIT_ACTUAL_MAX" 351.793182134628 5439837 46
"343" "NAME_CONTRACT_TYPE_Cash_loans" 346.481977462769 3390005 45
"344" "NAME_SELLER_INDUSTRY_miss" 337.363113641739 5741005 47
"345" "ORGANIZATION_TYPE.Industry..type.9" 331.056142926216 12859193 52
"346" "Add_DIFF_RECEIVABLE_BALANCE_CARD_MAX" 328.915661096573 7131482 52
"347" "CREDIT_ACTIVE_Sold" 328.101304769516 7179140 44
"348" "Car_loan_Nr" 323.848376989365 10804913 54
"349" "COMMONAREA_MODE" 320.027359008789 1808427 37
"350" "CHANNEL_TYPE_Channel_of_corporate_sales" 318.739025115967 10643957 39
"351" "PRODUCT_COMBINATION_Card_Street" 315.068759441376 8818758 54
"352" "WEEKDAY_APPR_PROCESS_START.TUESDAY" 309.490608453751 1522636 36
"353" "CNT_PAYMENT_MIN" 307.521822452545 652708 33
"354" "PRODUCT_COMBINATION_Cash" 304.196191072464 1827821 37
"355" "FLAG_PHONE" 301.388119220734 8580813 49
