Feature,Gain,Cover,Frequency,run
APARTMENTS_MEDI,38.9014966487885,163465,8,1
OCCUPATION_TYPE.Managers,38.8633418083191,80773,8,1
AMT_CREDIT_LIMIT_ACTUAL_MAX,38.8375709056854,105204,7,1
NUM_INSTALMENT_VERSION_6,38.7496713399887,37242,9,1
SELLERPLACE_AREA_29,38.4172296524048,137655,7,1
AMT_CREDIT_SUM_OVERDUE_MEAN,38.3860671520233,100380,8,1
CHANNEL_TYPE_Stone,38.1765336990356,272115,9,1
SELLERPLACE_AREA_48,37.7209451198578,118542,7,1
NA_OWN_CAR_AGE,37.0468893051148,270,6,1
NAME_CONTRACT_STATUS_Canceled,36.6020487546921,159613,8,1
WEEKDAY_APPR_PROCESS_START_WEDNESDAY,36.3472902774811,160248,8,1
Add_DIFF_PAYMENT_RECEIVABLE_PRINCIPAL_CARD_MEAN,36.2809920310974,452584,7,1
Credit_card_Nr,36.0065324306488,50515,7,1
NAME_YIELD_GROUP_high,34.6228809356689,20144,7,1
FLAG_DOCUMENT_3,34.1393735408783,638,5,1
NAME_CONTRACT_STATUS_Approved,34.1028397083283,34852,6,1
SELLERPLACE_AREA_50,33.8675518035889,1312393,9,1
Nr_INSTALLMENTS_PREV,33.8389296531677,587,4,1
WEEKDAY_APPR_PROCESS_START.TUESDAY,33.789094209671,2014,7,1
NAME_CASH_LOAN_PURPOSE_2,33.7115168571472,63772,5,1
SELLERPLACE_AREA_14,33.4681067466736,43580,7,1
ENTRANCES_MEDI,33.2397747337818,27792,6,1
Add_CARD_DRAWINGS_OTHER_per_CNT_MAX,33.2146890163422,728872,8,1
NAME_GOODS_CATEGORY_2,33.1596012115479,1620,5,1
NAME_TYPE_SUITE_Children,32.9918615818024,57900,6,1
PRODUCT_COMBINATION_Cash_Street._middle,32.9580624103546,321073,7,1
NAME_PORTFOLIO_Cash,32.7091846466064,13196,6,1
FLAG_OWN_CAR,32.707180261612,2258,6,1
FONDKAPREMONT_MODE.miss,32.7065925598145,40011,7,1
Add_DIFF_MEAN_PAYMENT_INST_MIN_CARD,32.6008653640747,82151,6,1
SELLERPLACE_AREA_3,31.6786062717438,333223,7,1
AMT_GOODS_PRICE_MIN,31.1548955440521,53438,7,1
EMERGENCYSTATE_MODE.Yes,31.0535528659821,29092,8,1
SELLERPLACE_AREA_6,30.9497127532959,14507,5,1
AMT_PAYMENT_CURRENT_MEAN,30.6543273925781,14968,5,1
SELLERPLACE_AREA_5,30.3012688159943,156006,7,1
AMT_DRAWINGS_OTHER_CURRENT_MEAN,30.1723756790161,122698,6,1
NFLAG_INSURED_ON_APPROVAL_NA,30.0869565010071,10215,4,1
NAME_INCOME_TYPE.Working,29.7812418937683,1012,5,1
ORGANIZATION_TYPE.Business.Entity.Type.1,29.6300573348999,159616,7,1
ENTRANCES_MODE,29.5730030536652,14990,6,1
AMT_REQ_CREDIT_BUREAU_WEEK,29.0271553993225,4912,5,1
CODE_GENDER.M,28.8746824264526,5233,5,1
NAME_GOODS_CATEGORY_12,28.5569033622742,70090,6,1
BUREAU_MONTH_BALANCE_MAX_MAX,27.9573435783386,47306,6,1
NAME_GOODS_CATEGORY_1,27.8553318977356,71639,7,1
SELLERPLACE_AREA_40,27.4866228103638,97593,6,1
PRODUCT_COMBINATION_POS_industry_with_interest,27.4408991336823,5382,5,1
CREDIT_DAY_OVERDUE_MEAN,27.3646166324616,501331,7,1
SELLERPLACE_AREA_15,27.2683265209198,83759,7,1
SK_DPD_DEF_MAX_POS,26.3767638206482,54593,6,1
SELLERPLACE_AREA_59,26.3570702075958,26810,7,1
HOUR_APPR_PROCESS_START_17,26.1160457134247,113372,6,1
NAME_GOODS_CATEGORY_4,25.9608016014099,66253,6,1
FLOORSMIN_MEDI,25.4692285060883,48594,5,1
NAME_PAYMENT_TYPE_miss,25.3560342788696,126225,5,1
FONDKAPREMONT_MODE.reg.oper.spec.account,25.0676004886627,3494,5,1
SELLERPLACE_AREA_53,25.0598680973053,752303,6,1
SELLERPLACE_AREA_17,24.851863861084,530253,6,1
NAME_SELLER_INDUSTRY_Furniture,24.6562142372131,33559,5,1
NAME_CONTRACT_STATUS_POSCASH_Approved,24.4749693870544,9586,4,1
NUM_INSTALMENT_VERSION_11,23.2987279891968,46883,5,1
NONLIVINGAPARTMENTS_MODE,23.1685163974762,2829,5,1
NAME_CONTRACT_TYPE_miss,23.071439743042,126424,5,1
NAME_FAMILY_STATUS.Married,23.0035347938538,1018,5,1
NAME_FAMILY_STATUS.Single...not.married,22.6725087165833,4162,4,1
SELLERPLACE_AREA_20,22.5485289096832,76575,5,1
NAME_CONTRACT_STATUS_CC_Completed_SUM,22.2061865329742,46114,5,1
NAME_GOODS_CATEGORY_3,22.0882573127747,379515,4,1
REGION_RATING_CLIENT_W_CITY.2,21.96440076828,202,3,1
Add_DIFF_RECEIVABLE_BALANCE_CARD_MAX,21.7737522125244,9688,4,1
SELLERPLACE_AREA_57,21.6414036750793,16130,5,1
NA_YEARS_BUILD,21.342878818512,347,3,1
SELLERPLACE_AREA_1,21.2318797111511,21608,4,1
PRODUCT_COMBINATION_Cash_Street._high,20.6857733726502,44587,4,1
SELLERPLACE_AREA_22,20.610200881958,290488,5,1
SELLERPLACE_AREA_37,20.5926859378815,339065,5,1
NAME_GOODS_CATEGORY_9,20.4204998016357,2705,4,1
NAME_TYPE_SUITE_Other_B,20.2751684188843,380982,5,1
